239108 3
0.138 -0.102 4.124
0.147 -0.094 3.795
0.374 0.307 3.594
0.432 -0.273 5.6
0.329 0.274 4.258
0.383 0.204 4.258
0.376 0.539 5.004
0.483 0.031 5.056
0.466 0.066 4.526
0.376 -0.207 3.991
0.57 4.955 6.348
0.613 1.986 6.203
0.575 0.942 5.394
0.64 1.186 5.864
0.558 1.36 5.464
0.579 0.301 6.136
0.455 0.814 2.913
0.296 0.408 1.576
0.372 0.444 2.195
0.608 0.236 6.803
0.638 -0.003 6.156
0.431 0.236 5.636
0.405 0.44 3.915
0.184 0.339 2.853
0.184 0.137 2.518
0.137 -1.333 1.451
0.164 -4.659 1.323
0.195 -6.536 1.727
0.192 5.933 1.055
0.164 1.715 0.383
0.198 1.726 0.854
0.215 1.084 1.123
0.215 0.744 0.988
0.203 0.643 0.585
0.249 0.273 1.458
0.293 -0.001 1.723
0.48 0.199 5.464
0.322 0.715 6.782
0.287 0.44 6.793
0.4 -0.035 6.056
0.342 0.102 4.793
0.279 0.342 2.451
0.436 0.034 5.408
0.431 -0.923 5.272
0.34 -5.752 4.191
0.388 2.625 4.998
0.316 2.207 3.653
0.278 1.147 3.392
0.289 1.253 3.997
0.336 0.713 4.601
0.266 0.611 6.652
0.526 0.165 6.792
0.324 0.443 6.316
0.194 0.103 6.058
0.099 -0.069 5.996
0.054 0.409 5.795
0.084 -0.17 6.461
0.551 -0.273 5.238
0.542 0.205 5.647
0.509 -1.469 4.392
0.537 -5.344 4.462
0.512 7.057 4.064
0.478 2.154 3.26
0.479 1.046 2.996
0.448 0.875 2.728
0.433 1.193 2.191
0.404 0.912 1.657
0.385 0.065 1.324
0.357 0.341 1.122
0.354 0.376 1.128
0.345 0.954 0.86
0.352 0.438 0.86
0.407 0.542 1.597
0.465 0.103 2.518
0.516 0.307 3.5
0.595 -0.038 5.23
0.67 -1.676 6.027
0.687 -5.95 6.416
0.856 2.077 6.784
0.811 1.587 6.121
0.753 1.393 5.325
0.703 0.47 4.461
0.65 0.784 3.123
0.611 -0.069 2.526
0.571 0.574 1.994
0.514 0.745 1.189
0.472 0.786 1.128
0.445 0.203 0.995
0.444 0.405 0.988
0.44 0.202 0.72
0.485 0.475 0.989
0.492 -0.069 0.921
0.509 -1.64 1.257
0.536 -6.257 1.857
0.596 1.886 3.253
0.622 1.82 4.17
0.664 1.291 5.228
0.697 0.332 5.824
0.745 0.785 6.824
0.727 0.271 6.661
