2527 3
1476858003.027176 -1.046997 37.629033
1476858004.066546 -1.046997 37.629033
1476858005.107151 -1.046998 37.629033
1476858006.157340 -1.046998 37.629033
1476858007.194698 -1.046998 37.629033
1476858008.235119 -1.046998 37.629033
1476858009.275513 -1.046998 37.629035
1476858010.316935 -1.046998 37.629035
1476858011.355604 -1.046998 37.629035
1476858012.395444 -1.047000 37.629035
1476858013.436128 -1.047000 37.629035
1476858014.487282 -1.046977 37.629018
1476858015.528379 -1.046977 37.629018
1476858016.567944 -1.046943 37.628995
1476858017.607302 -1.046860 37.628940
1476858018.648231 -1.046860 37.628940
1476858019.686601 -1.046805 37.628907
1476858020.727257 -1.046598 37.628808
1476858021.767103 -1.046598 37.628808
1476858022.816565 -1.046598 37.628808
1476858023.856395 -1.046348 37.628700
1476858024.895732 -1.046348 37.628700
1476858025.935135 -1.046260 37.628662
1476858026.975737 -1.046077 37.628592
1476858028.015452 -1.046077 37.628592
1476858029.056058 -1.045893 37.628543
1476858030.094733 -1.045792 37.628537
1476858031.147566 -1.045792 37.628537
1476858032.186057 -1.045593 37.628548
1476858033.226289 -1.045515 37.628542
1476858034.266949 -1.045515 37.628542
1476858035.306540 -1.045410 37.628467
1476858036.346284 -1.045377 37.628405
1476858037.386883 -1.045377 37.628405
1476858038.426323 -1.045298 37.628262
1476858039.527358 -1.045298 37.628262
1476858040.567232 -1.045257 37.628183
1476858041.607365 -1.045183 37.628018
1476858042.647793 -1.045183 37.628018
1476858043.687512 -1.045150 37.627935
1476858044.727879 -1.045060 37.627705
1476858045.767529 -1.045060 37.627705
1476858046.806888 -1.045060 37.627705
1476858047.854727 -1.044930 37.627603
1476858048.896506 -1.044930 37.627603
1476858049.936679 -1.044867 37.627608
1476858050.976391 -1.044730 37.627620
1476858052.015924 -1.044730 37.627620
1476858053.056606 -1.044585 37.627617
1476858054.097144 -1.044505 37.627612
1476858055.136621 -1.044505 37.627612
1476858056.185086 -1.044342 37.627592
1476858057.227266 -1.044260 37.627575
1476858058.266563 -1.044260 37.627575
1476858059.307180 -1.044072 37.627553
1476858060.346829 -1.043975 37.627557
1476858061.387411 -1.043975 37.627557
1476858062.426854 -1.043787 37.627563
1476858063.467454 -1.043687 37.627572
1476858064.519621 -1.043687 37.627572
1476858065.557082 -1.043488 37.627577
1476858066.597719 -1.043488 37.627577
1476858067.637174 -1.043383 37.627582
1476858068.676798 -1.043173 37.627597
1476858069.718164 -1.043173 37.627597
1476858070.756837 -1.043068 37.627602
1476858071.797507 -1.042760 37.627658
1476858072.853043 -1.042760 37.627658
1476858073.888767 -1.042760 37.627658
1476858074.928170 -1.042457 37.627753
1476858075.968758 -1.042457 37.627753
1476858077.009318 -1.042355 37.627770
1476858078.047936 -1.042145 37.627765
1476858079.088315 -1.042145 37.627765
1476858080.127802 -1.041932 37.627745
1476858081.184354 -1.041820 37.627733
1476858082.218218 -1.041820 37.627733
1476858083.257652 -1.041583 37.627718
1476858084.297222 -1.041462 37.627712
1476858085.338128 -1.041462 37.627712
1476858086.377611 -1.041227 37.627702
1476858087.418302 -1.041107 37.627695
1476858088.457628 -1.041107 37.627695
1476858089.509544 -1.040867 37.627682
1476858090.548280 -1.040747 37.627678
1476858091.588516 -1.040747 37.627678
1476858092.628167 -1.040523 37.627670
1476858093.668470 -1.040523 37.627670
1476858094.708294 -1.040418 37.627657
1476858095.748923 -1.040210 37.627620
1476858096.788598 -1.040210 37.627620
1476858097.837448 -1.040105 37.627587
1476858098.878202 -1.039798 37.627460
1476858099.918564 -1.039798 37.627460
1476858100.957688 -1.039692 37.627423
1476858101.998257 -1.039473 37.627372
1476858103.038240 -1.039473 37.627372
1476858104.079289 -1.039245 37.627357
1476858105.118063 -1.039132 37.627352
1476858106.175471 -1.039132 37.627352
1476858107.217849 -1.038908 37.627350
1476858108.257892 -1.038798 37.627357
1476858109.298472 -1.038798 37.627357
1476858110.337963 -1.038587 37.627390
1476858111.378714 -1.038477 37.627400
1476858112.418084 -1.038477 37.627400
1476858113.458733 -1.038238 37.627403
1476858114.510990 -1.038110 37.627395
1476858115.550260 -1.038110 37.627395
