   4100 3
   3.7996386e+01	  -1.1340475e+00	   9.1942430e-02	
   3.7996389e+01	  -1.1340234e+00	   5.4790493e-01	
   3.7996393e+01	  -1.1339994e+00	   1.4346184e+00	
   3.7996397e+01	  -1.1339754e+00	   1.2841721e+00	
   3.7996401e+01	  -1.1339513e+00	   2.4364380e+00	
   3.7996404e+01	  -1.1339273e+00	   2.1966438e-01	
   3.7996408e+01	  -1.1339033e+00	   1.2411217e+00	
   3.7996412e+01	  -1.1338793e+00	   1.0759777e+00	
   3.7996416e+01	  -1.1338552e+00	   5.3646805e-01	
   3.7996419e+01	  -1.1338312e+00	   1.6837001e-01	
   3.7996423e+01	  -1.1338072e+00	   1.2749929e-01	
   3.7996427e+01	  -1.1337831e+00	   4.2759581e-03	
   3.7996431e+01	  -1.1337591e+00	   1.0346680e-01	
   3.7996434e+01	  -1.1337351e+00	   1.0343938e+00	
   3.7996438e+01	  -1.1337110e+00	   1.1705442e+00	
   3.7996442e+01	  -1.1336870e+00	   2.6087346e-01	
   3.7996446e+01	  -1.1336630e+00	   5.1256404e-03	
   3.7996449e+01	  -1.1336390e+00	   8.8204149e-02	
   3.7996453e+01	  -1.1336149e+00	   5.0333807e-01	
   3.7996457e+01	  -1.1335909e+00	   9.9670542e-01	
   3.7996461e+01	  -1.1335669e+00	   1.5697100e+00	
   3.7996464e+01	  -1.1335428e+00	   1.0863529e+00	
   3.7996468e+01	  -1.1335188e+00	   8.4879150e-01	
   3.7996472e+01	  -1.1334948e+00	   1.2389932e+00	
   3.7996476e+01	  -1.1334707e+00	   4.2091135e-01	
   3.7996479e+01	  -1.1334467e+00	   3.0545970e-01	
   3.7996483e+01	  -1.1334227e+00	   1.1013416e+00	
   3.7996487e+01	  -1.1333987e+00	   6.1628996e-01	
   3.7996491e+01	  -1.1333746e+00	   1.2834178e+00	
   3.7996494e+01	  -1.1333506e+00	   1.8090327e+00	
   3.7996498e+01	  -1.1333266e+00	   1.9184898e+00	
   3.7996502e+01	  -1.1333025e+00	   1.1378561e-01	
   3.7996506e+01	  -1.1332785e+00	   1.9848206e+00	
   3.7996509e+01	  -1.1332545e+00	   1.1259469e+00	
   3.7996513e+01	  -1.1332304e+00	   1.9143768e+00	
   3.7996517e+01	  -1.1332064e+00	   1.1646253e-01	
   3.7996521e+01	  -1.1331824e+00	   2.2218143e-01	
   3.7996524e+01	  -1.1331584e+00	   8.7318007e-02	
   3.7996528e+01	  -1.1331343e+00	   1.2753368e+00	
   3.7996532e+01	  -1.1331103e+00	   9.5585887e-01	
   3.7996536e+01	  -1.1330863e+00	   9.4159222e-01	
   3.7996383e+01	  -1.1340497e+00	   3.0146337e+00	
   3.7996391e+01	  -1.1340089e+00	   4.8835420e-01	
   3.7996398e+01	  -1.1339682e+00	   2.8072216e-01	
   3.7996406e+01	  -1.1339274e+00	   1.7086531e+00	
   3.7996413e+01	  -1.1338867e+00	   1.6707281e+00	
   3.7996421e+01	  -1.1338459e+00	   4.8092288e-01	
   3.7996428e+01	  -1.1338051e+00	   1.3290613e+00	
   3.7996436e+01	  -1.1337644e+00	   7.0422594e-01	
   3.7996443e+01	  -1.1337236e+00	   8.7832574e-01	
   3.7996451e+01	  -1.1336829e+00	   1.2139860e+00	
